idx, tickerID, time, open, high, low, close, volume, wap, count, green, median
203.0, 1000.0, 1538062525.0, 169.7, 169.72, 169.7, 169.71, 12.0, 169.71, 9.0, 1, 169.71
204.0, 1000.0, 1538062530.0, 169.71, 169.72, 169.71, 169.72, 7.0, 169.72, 5.0, 1, 169.71
205.0, 1000.0, 1538062535.0, 169.73, 169.77, 169.72, 169.75, 106.0, 169.75, 16.0, 1, 169.71
206.0, 1000.0, 1538062540.0, 169.75, 169.76, 169.75, 169.75, 14.0, 169.75, 4.0, 0, 169.71
207.0, 1000.0, 1538062545.0, 169.75, 169.75, 169.71, 169.73, 80.0, 169.72, 26.0, 0, 169.71
208.0, 1000.0, 1538062550.0, 169.74, 169.74, 169.69, 169.69, 32.0, 169.71, 17.0, 0, 169.71
209.0, 1000.0, 1538062555.0, 169.7, 169.72, 169.67, 169.72, 64.0, 169.69, 25.0, 1, 169.71
210.0, 1000.0, 1538062560.0, 169.69, 169.71, 169.66, 169.66, 12.0, 169.69, 10.0, 0, 169.61
211.0, 1000.0, 1538062565.0, 169.66, 169.7, 169.63, 169.64, 64.0, 169.66, 35.0, 0, 169.61
212.0, 1000.0, 1538062570.0, 169.65, 169.65, 169.63, 169.64, 28.0, 169.64, 18.0, 0, 169.61
213.0, 1000.0, 1538062575.0, 169.64, 169.66, 169.63, 169.63, 77.0, 169.64, 21.0, 0, 169.61
214.0, 1000.0, 1538062580.0, 169.62, 169.63, 169.61, 169.63, 49.0, 169.62, 23.0, 1, 169.61
215.0, 1000.0, 1538062585.0, 169.63, 169.63, 169.61, 169.62, 16.0, 169.63, 11.0, 0, 169.61
216.0, 1000.0, 1538062590.0, 169.62, 169.63, 169.62, 169.62, 3.0, 169.62, 3.0, 0, 169.61
217.0, 1000.0, 1538062595.0, 169.61, 169.61, 169.54, 169.55, 123.0, 169.55, 24.0, 0, 169.61
218.0, 1000.0, 1538062600.0, 169.55, 169.58, 169.55, 169.58, 26.0, 169.57, 16.0, 1, 169.61
219.0, 1000.0, 1538062605.0, 169.58, 169.58, 169.53, 169.54, 40.0, 169.56, 15.0, 0, 169.61
220.0, 1000.0, 1538062610.0, 169.55, 169.56, 169.55, 169.55, 10.0, 169.55, 5.0, 0, 169.61
221.0, 1000.0, 1538062615.0, 169.56, 169.56, 169.53, 169.53, 32.0, 169.54, 12.0, 0, 169.61
222.0, 1000.0, 1538062620.0, 169.52, 169.53, 169.49, 169.49, 41.0, 169.51, 13.0, 0, 169.55
223.0, 1000.0, 1538062625.0, 169.48, 169.51, 169.48, 169.49, 25.0, 169.49, 20.0, 1, 169.55
224.0, 1000.0, 1538062630.0, 169.49, 169.5, 169.49, 169.5, 36.0, 169.49, 8.0, 1, 169.55
225.0, 1000.0, 1538062635.0, 169.5, 169.52, 169.49, 169.51, 51.0, 169.51, 16.0, 1, 169.55
226.0, 1000.0, 1538062640.0, 169.52, 169.56, 169.51, 169.55, 38.0, 169.54, 26.0, 1, 169.55
227.0, 1000.0, 1538062645.0, 169.54, 169.56, 169.54, 169.54, 12.0, 169.54, 5.0, 0, 169.55
228.0, 1000.0, 1538062650.0, 169.55, 169.55, 169.54, 169.54, 2.0, 169.55, 2.0, 0, 169.55
229.0, 1000.0, 1538062655.0, 169.54, 169.56, 169.54, 169.56, 8.0, 169.55, 6.0, 1, 169.55
230.0, 1000.0, 1538062660.0, 169.57, 169.63, 169.57, 169.62, 24.0, 169.59, 14.0, 1, 169.55
231.0, 1000.0, 1538062665.0, 169.62, 169.64, 169.62, 169.62, 9.0, 169.62, 4.0, 0, 169.55
232.0, 1000.0, 1538062670.0, 169.62, 169.62, 169.6, 169.61, 6.0, 169.61, 5.0, 0, 169.55
233.0, 1000.0, 1538062675.0, 169.62, 169.63, 169.62, 169.63, 10.0, 169.62, 9.0, 1, 169.55
234.0, 1000.0, 1538062680.0, 169.65, 169.66, 169.63, 169.63, 48.0, 169.64, 13.0, 0, 169.63
235.0, 1000.0, 1538062685.0, 169.63, 169.64, 169.63, 169.63, 6.0, 169.63, 6.0, 0, 169.63
236.0, 1000.0, 1538062690.0, 169.64, 169.68, 169.63, 169.68, 10.0, 169.66, 4.0, 1, 169.63
237.0, 1000.0, 1538062695.0, 169.66, 169.66, 169.64, 169.64, 15.0, 169.65, 10.0, 0, 169.63
238.0, 1000.0, 1538062700.0, 169.64, 169.66, 169.63, 169.66, 6.0, 169.65, 5.0, 1, 169.63
239.0, 1000.0, 1538062705.0, 169.66, 169.66, 169.6, 169.6, 6.0, 169.63, 5.0, 0, 169.63
240.0, 1000.0, 1538062710.0, 169.59, 169.6, 169.59, 169.6, 4.0, 169.6, 2.0, 1, 169.63
241.0, 1000.0, 1538062715.0, 169.61, 169.65, 169.61, 169.65, 9.0, 169.63, 8.0, 1, 169.63
242.0, 1000.0, 1538062720.0, 169.65, 169.65, 169.63, 169.64, 7.0, 169.64, 7.0, 0, 169.63
243.0, 1000.0, 1538062725.0, 169.63, 169.63, 169.61, 169.62, 12.0, 169.62, 12.0, 0, 169.63
244.0, 1000.0, 1538062730.0, 169.62, 169.64, 169.62, 169.64, 20.0, 169.63, 6.0, 1, 169.63
245.0, 1000.0, 1538062735.0, 169.65, 169.65, 169.61, 169.62, 14.0, 169.63, 9.0, 0, 169.63
246.0, 1000.0, 1538062740.0, 169.62, 169.65, 169.62, 169.65, 4.0, 169.63, 4.0, 1, 169.61
247.0, 1000.0, 1538062745.0, 169.62, 169.62, 169.58, 169.58, 22.0, 169.6, 14.0, 0, 169.61
248.0, 1000.0, 1538062750.0, 169.59, 169.6, 169.58, 169.59, 23.0, 169.58, 10.0, 0, 169.61
249.0, 1000.0, 1538062755.0, 169.58, 169.59, 169.58, 169.59, 8.0, 169.58, 8.0, 1, 169.61
250.0, 1000.0, 1538062760.0, 169.58, 169.59, 169.58, 169.59, 13.0, 169.59, 4.0, 1, 169.61
251.0, 1000.0, 1538062765.0, 169.59, 169.64, 169.59, 169.64, 36.0, 169.61, 13.0, 1, 169.61
252.0, 1000.0, 1538062770.0, 169.63, 169.64, 169.62, 169.62, 3.0, 169.63, 3.0, 0, 169.61
253.0, 1000.0, 1538062775.0, 169.62, 169.63, 169.62, 169.62, 17.0, 169.62, 2.0, 0, 169.61
254.0, 1000.0, 1538062780.0, 169.63, 169.63, 169.6, 169.6, 18.0, 169.62, 13.0, 0, 169.61
255.0, 1000.0, 1538062785.0, 169.6, 169.6, 169.59, 169.59, 8.0, 169.6, 7.0, 0, 169.61
256.0, 1000.0, 1538062790.0, 169.59, 169.61, 169.59, 169.61, 15.0, 169.6, 13.0, 1, 169.61
257.0, 1000.0, 1538062795.0, 169.61, 169.64, 169.61, 169.64, 4.0, 169.62, 4.0, 1, 169.61
258.0, 1000.0, 1538062800.0, 169.6, 169.61, 169.6, 169.6, 8.0, 169.6, 8.0, 0, 169.64
